Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Timecode
3049.5293071428555,0.988,0.95,4.790812842045491,2021-12-03_095746
1584.537664285716,0.988,0.99,3.130547408633748,2021-12-03_103113
1435.7174785714292,0.988,0.95,3.2322853618956797,2021-12-03_110431
1123.8297499999999,0.988,0.82,3.1197526032762117,2021-12-03_113743
1037.8954714285699,0.988,0.93,3.3324328728035573,2021-12-03_121122
524.5815499999978,0.988,0.87,3.2453140654025043,2021-12-03_124503
50.87470000000182,0.988,0.49,3.2043555972181026,2021-12-03_131823
349.68401428571485,0.988,0.84,3.253133854548713,2021-12-03_135141
150.39791428571513,0.988,0.14,3.2335986349803276,2021-12-03_142507
314.5945357142859,0.988,0.38,3.944107499368382,2021-12-03_150858
-162.96967142857173,0.988,0.11,3.4712497755263088,2021-12-03_154220
-0.653085714284945,0.988,0.15,3.469834188543519,2021-12-03_161530
1197.633692857144,0.988,0.92,4.076354069413247,2021-12-03_170926
476.89948571428647,0.988,0.92,3.177256640923646,2021-12-03_174253
-254.4597857142876,0.988,0.11,3.1532510379663106,2021-12-03_181629
414.57195714285524,0.988,0.45,7.031833620665937,2021-12-03_190026
136.20114285714325,0.988,0.72,3.469915786794372,2021-12-03_193335
32.88422142857139,0.988,0.38,3.336600212142616,2021-12-03_200646
418.58968571428665,0.988,0.29,4.908883597245533,2021-12-03_204002
53.17526428571472,0.988,0.13,5.347178548967018,2021-12-03_211348
-4.419749999999557,0.988,0.24,3.812276443010043,2021-12-03_215206
-19.720578571427765,0.988,0.43,3.0757511189539093,2021-12-03_222513
955.311935714287,0.988,0.91,3.832101789678779,2021-12-03_230330
610.8790071428581,0.988,0.94,3.3659984487458816,2021-12-03_233654
-2.8895357142858664,0.988,0.13,3.070768641025001,2021-12-04_001013
613.0090071428573,0.988,0.6,3.1433051176171865,2021-12-04_004325
359.95185714285856,0.988,0.84,3.784866045740421,2021-12-04_011635
-72.62869285714176,0.988,0.19,3.1908955695782226,2021-12-04_015017
138.511807142857,0.988,0.18,4.656257032202151,2021-12-04_023430
168.37812857142796,0.988,0.51,3.960942257486845,2021-12-04_030737
5.114842857142481,0.988,0.09,3.5370494693702783,2021-12-04_034055
535.4310357142859,0.988,0.76,5.866532389935236,2021-12-04_042436
2188.1085785714304,0.988,0.98,3.6423951708183573,2021-12-04_045757
621.2162000000011,0.988,0.91,3.0584711473661628,2021-12-04_053111
543.3935499999998,0.988,0.71,6.11469540017053,2021-12-04_061443
295.5265071428559,0.988,0.86,3.3635625307710204,2021-12-04_064748
-84.34153571428514,0.988,0.11,3.111847755795144,2021-12-04_072118
319.3523571428587,0.988,0.44,5.451627188713962,2021-12-04_080442
55.416499999998756,0.988,0.51,3.7625543707471913,2021-12-04_083813
158.25685714285845,0.988,0.08,3.835807645518283,2021-12-04_091131
871.3944214285702,0.988,0.94,3.5242464236801925,2021-12-04_100538
298.34495714285754,0.988,0.97,3.2252587912504778,2021-12-04_103844
156.37074285714235,0.988,0.21,4.180818805646235,2021-12-04_111202
734.8140928571403,0.988,0.86,4.832888903256571,2021-12-04_114504
