Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
6.37E-14,4.93E-08,0.03419195,0.07315341
5.32E-14,4.12E-08,-0.007277666,0.053403073
4.76E-14,3.69E-08,-0.010568397,0.060311675
4.73E-14,3.66E-08,0.066049569,0.061824556
2.24E-14,1.74E-08,-0.093933376,0.08998408
3.79E-14,2.94E-08,-0.002644916,0.092959866
5.74E-14,4.45E-08,0.02009033,0.072215589
4.94E-14,3.83E-08,0.012298341,0.05266213
3.97E-14,3.08E-08,-0.009127633,0.078814911
4.34E-14,3.36E-08,0.050182924,0.141928279
3.30E-14,2.56E-08,-0.009918725,0.089859973
3.99E-14,3.09E-08,0.006787451,0.079095348
3.09E-14,2.39E-08,0.086407719,0.180023252
5.22E-14,4.05E-08,0.003256991,0.059445922
4.83E-14,3.74E-08,-0.003760979,0.071789549
2.49E-14,1.93E-08,-0.013687166,0.15021531
3.23E-14,2.50E-08,0.002150867,0.125121774
3.41E-14,2.64E-08,-0.050902971,0.062583963
3.39E-14,2.63E-08,0.100646361,0.159674714
3.40E-14,2.64E-08,0.002071588,0.08793121
2.19E-14,1.69E-08,-0.022383782,0.12073796
2.50E-14,1.94E-08,-0.016248193,0.122206553
1.15E-14,8.94E-09,-0.058028618,0.197391043
2.51E-14,1.95E-08,0.108285308,0.155087763
2.99E-14,2.32E-08,0.073885845,0.136975264
2.20E-14,1.70E-08,0.057499814,0.222163775
2.92E-14,2.26E-08,0.02906077,0.147584332
1.42E-14,1.10E-08,-0.023749309,0.440605849
2.82E-14,2.19E-08,-0.022173533,0.125005409
1.92E-14,1.48E-08,0.081509759,0.259454689
3.62E-14,2.81E-08,0.058203611,0.135085392
3.18E-14,2.46E-08,0.014073873,0.102911838
3.46E-14,2.68E-08,0.000869335,0.081853226
1.81E-14,1.40E-08,-0.015490917,0.22627186
2.74E-14,2.12E-08,0.062562825,0.119063574
1.83E-14,1.42E-08,0.003615018,0.194675337
2.72E-14,2.11E-08,-0.043278431,0.108082165
2.03E-14,1.57E-08,-0.011024141,0.141785529
1.64E-14,1.27E-08,-0.02727077,0.292803013
2.61E-14,2.03E-08,0.023091805,0.231391249
1.39E-14,1.08E-08,-0.087530989,0.353456842
2.68E-14,2.08E-08,0.099902944,0.160255369
1.20E-14,9.27E-09,0.235832924,0.368231003
1.53E-14,1.19E-08,0.060109749,0.183438302
1.25E-14,9.66E-09,0.020954601,0.365610048
2.36E-14,1.83E-08,0.077244703,0.162480655
1.54E-14,1.19E-08,0.127558434,0.232110176
1.11E-14,8.59E-09,0.416750776,0.907465211
7.98E-15,6.18E-09,-0.236922111,0.475331967
1.85E-14,1.43E-08,0.062938243,0.155935809
1.42E-14,1.10E-08,0.39939074,0.709212962
6.08E-15,4.71E-09,-0.085528653,0.286589421
1.66E-14,1.29E-08,0.020465419,0.125902184
2.34E-14,1.81E-08,0.127302833,0.253544383
1.53E-14,1.18E-08,0.260934707,0.478265293
4.50E-15,3.49E-09,-0.052129974,0.893360541
1.56E-14,1.21E-08,0.125090519,0.226546003
6.11E-15,4.74E-09,0.801733091,2.605553524
1.76E-14,1.36E-08,0.142526238,0.380656577
9.18E-15,7.12E-09,-0.06139051,0.343826504
1.54E-15,1.19E-09,0.910345874,3.206881522
1.60E-14,1.24E-08,0.021862845,0.262959073
1.00E-14,7.77E-09,-0.071216278,0.437155485
1.07E-14,8.29E-09,-0.004042336,0.299686851
1.46E-14,1.13E-08,0.146620348,0.281169765
6.84E-15,5.30E-09,0.075455868,0.399800639
1.26E-14,9.76E-09,0.015903461,0.263617887
8.58E-15,6.65E-09,0.14515866,0.307032309
1.28E-14,9.89E-09,-0.007451962,0.217570587
1.20E-14,9.28E-09,-0.054620702,0.26756917
7.06E-15,5.47E-09,-0.129970081,0.389990887
5.19E-15,4.02E-09,-0.81017322,1.944745147
3.38E-15,2.62E-09,-0.249470719,1.337499541
8.53E-15,6.61E-09,0.074510918,0.377089017
