Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Difference Distribution Mean,Timecode
372.8001929,0.988,0.34,11.34690561,26.16397669,2021-12-03_012935
51.64458571,0.988,0.49,3.281726806,10.10915421,2021-12-03_020337
61.91777143,0.988,0.45,3.453402557,3.298933479,2021-12-03_023651
97.41618571,0.988,0.15,3.285931863,7.280488805,2021-12-03_031030
236.0485071,0.988,0.18,4.260607308,7.098223669,2021-12-03_034411
2242.390171,0.988,0.97,3.372958091,9.453106468,2021-12-03_045611
627.6404071,0.988,0.91,3.635334452,9.347790699,2021-12-03_054442
477.7232429,0.988,0.92,6.135293301,30.41836095,2021-12-03_062312
228.2188214,0.988,0.8,3.219180164,5.097361749,2021-12-03_065624
449.6725357,0.988,0.4,6.270173685,18.332889,2021-12-03_073954
31.98892857,0.988,0.33,3.481622957,7.109511071,2021-12-03_084612
266.9572,0.988,0.12,3.448584605,3.815299157,2021-12-03_091917
3049.529307,0.988,0.95,4.790812842,7.886591228,2021-12-03_095746
1584.537664,0.988,0.99,3.130547409,4.915618481,2021-12-03_103113
1435.717479,0.988,0.95,3.232285362,7.315189408,2021-12-03_110431
1123.82975,0.988,0.82,3.119752603,-11.16576617,2021-12-03_113743
1037.895471,0.988,0.93,3.332432873,6.265562275,2021-12-03_121122
524.58155,0.988,0.87,3.245314065,5.697356056,2021-12-03_124503
50.8747,0.988,0.49,3.204355597,2.100989398,2021-12-03_131823
349.6840143,0.988,0.84,3.253133855,8.658437335,2021-12-03_135141
150.3979143,0.988,0.14,3.233598635,3.909186016,2021-12-03_142507
314.5945357,0.988,0.38,3.944107499,2.437941925,2021-12-03_150858
1197.633693,0.988,0.92,4.076354069,18.06850653,2021-12-03_170926
476.8994857,0.988,0.92,3.177256641,5.929799695,2021-12-03_174253
414.5719571,0.988,0.45,7.031833621,33.42966767,2021-12-03_190026
136.2011429,0.988,0.72,3.469915787,8.34335723,2021-12-03_193335
32.88422143,0.988,0.38,3.336600212,5.313488364,2021-12-03_200646
418.5896857,0.988,0.29,4.908883597,5.480763263,2021-12-03_204002
53.17526429,0.988,0.13,5.347178549,22.98453933,2021-12-03_211348
955.3119357,0.988,0.91,3.83210179,19.62145436,2021-12-03_230330
610.8790071,0.988,0.94,3.365998449,7.814443403,2021-12-03_233654
613.0090071,0.988,0.6,3.143305118,-1.944658298,2021-12-04_004325
359.9518571,0.988,0.84,3.784866046,12.41525209,2021-12-04_011635
138.5118071,0.988,0.18,4.656257032,10.53690593,2021-12-04_023430
168.3781286,0.988,0.51,3.960942257,15.13020047,2021-12-04_030737
5.114842857,0.988,0.09,3.537049469,1.500059084,2021-12-04_034055
535.4310357,0.988,0.76,5.86653239,22.4403564,2021-12-04_042436
2188.108579,0.988,0.98,3.642395171,14.62394434,2021-12-04_045757
621.2162,0.988,0.91,3.058471147,3.224501975,2021-12-04_053111
543.39355,0.988,0.71,6.1146954,11.10371915,2021-12-04_061443
295.5265071,0.988,0.86,3.363562531,9.558758497,2021-12-04_064748
319.3523571,0.988,0.44,5.451627189,10.94804757,2021-12-04_080442
55.4165,0.988,0.51,3.762554371,11.67575591,2021-12-04_083813
158.2568571,0.988,0.08,3.835807646,2.231225566,2021-12-04_091131
871.3944214,0.988,0.94,3.524246424,10.52485323,2021-12-04_100538
298.3449571,0.988,0.97,3.225258791,5.439116046,2021-12-04_103844
156.3707429,0.988,0.21,4.180818806,21.78782068,2021-12-04_111202
734.8140929,0.988,0.86,4.832888903,21.8701086,2021-12-04_114504
83.44504286,0.988,0.55,3.783111904,8.875663134,2021-12-04_122400
131.9126,0.988,0.14,3.371000697,5.695434438,2021-12-04_125706
154.2272143,0.988,0.3,4.718008006,10.64366257,2021-12-04_134545
1095.468714,0.988,0.97,3.76488992,-11.25735219,2021-12-04_145718
617.2378571,0.988,0.72,3.837723426,2.889725477,2021-12-04_153021
1187.311193,0.988,0.99,3.370500597,12.0141484,2021-12-04_160352
215.3757929,0.988,0.39,3.049928824,1.25063199,2021-12-04_163700
391.6760786,0.988,0.57,8.709872359,18.83068518,2021-12-04_171507
400.9734857,0.988,0.89,3.312494927,5.453800831,2021-12-04_174819
143.8241786,0.988,0.21,8.459830761,14.91029096,2021-12-04_185422
127.6331143,0.988,0.62,3.737309168,11.33394408,2021-12-04_192727
8.091142857,0.988,0.08,3.207280896,2.511819654,2021-12-04_200059
141.8760286,0.988,0.19,5.454402117,13.14823261,2021-12-04_204432
1792.843071,0.988,0.96,7.944949341,55.38139153,2021-12-04_222400
1660.37015,0.988,0.98,3.640669069,13.54570481,2021-12-04_225703
821.0482929,0.988,0.93,3.071734113,5.541688727,2021-12-04_233009
253.0478429,0.988,0.6,4.927177072,17.13470905,2021-12-05_002405
108.7529357,0.988,0.54,3.343903508,8.277239482,2021-12-05_005722
43.42772143,0.988,0.06,3.18563205,4.265518969,2021-12-05_013029
1306.674536,0.988,1,3.238081656,6.939037699,2021-12-05_025227
1282.068943,0.988,0.96,4.22924727,5.49902922,2021-12-05_035839
1052.359057,0.988,0.97,3.349135778,9.5162274,2021-12-05_043224
-263.6544,0.988,0.11,3.144959508,4.5279807,2021-12-05_050521
355.6464214,0.988,0.68,7.357175248,33.68721659,2021-12-05_055400
12.38703571,0.988,0.27,3.530521674,5.901337756,2021-12-05_062707
1926.393114,0.988,1,6.098579939,-0.134997766,2021-12-05_075948
311.8780571,0.988,0.85,3.065514536,6.675373447,2021-12-05_083247
152.0337357,0.988,0.17,9.616976847,25.50678806,2021-12-05_090604
1150.391143,0.988,0.98,5.849019099,12.41976842,2021-12-05_093903
118.1157786,0.988,0.78,3.170557311,5.688197172,2021-12-05_101215
96.71482143,0.988,0.14,3.177119921,4.250507043,2021-12-05_104517
914.4056643,0.988,0.69,5.057171199,-2.886408453,2021-12-05_112329
13.55312143,0.988,0.51,3.448108757,9.065693614,2021-12-05_115649
167.2709643,0.988,0.16,3.396435476,1.578710178,2021-12-05_123002
3387.34665,0.988,0.96,3.798765637,2.769380946,2021-12-05_132408
2344.6089,0.988,0.99,3.088014683,5.290795161,2021-12-05_135722
766.1346857,0.988,0.91,6.116745389,7.384059978,2021-12-05_150413
7.44765,0.988,0.59,3.141933933,6.601985266,2021-12-05_153715
300.2148071,0.988,0.15,3.100698046,-8.893160524,2021-12-05_161538
446.9304571,0.988,0.82,5.939007419,30.85497364,2021-12-05_164835
250.9715571,0.988,0.11,8.241658667,13.55971831,2021-12-05_175457
290.3237929,0.988,0.4,3.116194257,-9.256185777,2021-12-05_194959
1446.472279,0.988,0.99,4.332182992,7.492632797,2021-12-05_202800
91.69223571,0.988,0.7,3.014450688,3.842940193,2021-12-05_210121
417.8476357,0.988,0.35,4.972813694,-9.54367571,2021-12-05_213957
753.9112786,0.988,0.78,5.934128669,26.82272264,2021-12-05_221314
6.079028571,0.988,0.41,3.081857913,4.394790343,2021-12-05_224617
226.6787786,0.988,0.11,8.925548764,25.77890755,2021-12-05_231934
211.7791643,0.988,0.32,4.54677483,5.871216453,2021-12-05_235254
92.7992,0.988,0.12,3.385140857,5.254956661,2021-12-06_005917
1731.925071,0.988,0.98,4.010786083,6.906875644,2021-12-06_014755
1144.869614,0.988,0.99,3.081919824,4.873656199,2021-12-06_022103
1658.583207,0.988,0.98,7.128667908,19.44359673,2021-12-06_033235
690.6897643,0.988,0.86,3.630244117,7.487114155,2021-12-06_040534
311.6150214,0.988,0.79,3.033248038,3.489299041,2021-12-06_043832
122.2958929,0.988,0.18,4.632838216,-0.799964084,2021-12-06_051146
1632.426971,0.988,0.94,3.189112925,0.990343025,2021-12-06_062121
1816.836079,0.988,0.98,4.055311002,20.05204681,2021-12-06_065429
-42.15633571,0.988,0.4,3.092362513,4.497505675,2021-12-06_072732
534.0732143,0.988,0.79,3.579695588,9.30079314,2021-12-06_080031
457.9321071,0.988,0.96,3.234410758,7.852005829,2021-12-06_083354
1028.261736,0.988,0.69,8.78336812,6.436550255,2021-12-06_090705
562.32935,0.988,0.86,3.862655173,73.78594352,2021-12-06_094041
50.67577143,0.988,0.44,3.192956058,7.222794121,2021-12-06_101347
290.1383571,0.988,0.17,3.570996151,4.162395197,2021-12-06_104659
232.6095429,0.988,0.72,7.956617515,44.69878937,2021-12-06_112111
599.1290286,0.988,0.37,5.614843699,1.480388826,2021-12-06_115414
16.36833571,0.988,0.31,3.259352232,1.224704449,2021-12-06_122712
262.1609143,0.988,0.17,4.580377698,12.82668645,2021-12-06_133325
1668.539464,0.988,0.99,14.81118221,23.77828445,2021-12-06_141147
1329.994243,0.988,0.95,3.160720137,4.002665927,2021-12-06_144458
195.4460286,0.988,0.78,3.298001062,6.278302003,2021-12-06_151813
629.3421643,0.988,0.81,3.221412304,7.165047928,2021-12-06_162924
184.7646786,0.988,0.49,3.648981032,6.882671819,2021-12-06_170253
57.84123571,0.988,0.62,3.25957689,2.598270433,2021-12-06_174135
254.2340643,0.988,0.17,3.836802142,10.72079827,2021-12-06_182505
910.2800929,0.988,0.95,16.98267826,63.17348126,2021-12-06_204259
1425.884571,0.988,0.97,3.121568644,4.194679419,2021-12-06_211630
585.7102714,0.988,0.98,3.098984211,0.02310235,2021-12-06_222242
1114.162443,0.988,0.96,3.068799966,4.474678055,2021-12-06_225550
135.4371929,0.988,0.74,3.476477072,3.183500523,2021-12-06_232857
182.0272286,0.988,0.83,3.310611625,7.449264925,2021-12-07_000215
331.9195357,0.988,0.16,5.011770168,3.6650499,2021-12-07_004546
79.34292143,0.988,0.5,3.280399941,6.300264152,2021-12-07_015141
1949.233114,0.988,0.98,14.12063531,31.7465575,2021-12-07_024020
1359.075057,0.988,0.96,3.898278009,16.50754766,2021-12-07_031824
83.27261429,0.988,0.67,3.159276424,3.735005213,2021-12-07_035121
84.04591429,0.988,0.37,3.69394262,7.55858779,2021-12-07_044542
705.0031143,0.988,0.96,4.082279262,17.28642977,2021-12-07_064614
1545.7113,0.988,0.99,3.291657522,10.1871874,2021-12-07_071930
506.7998643,0.988,0.93,3.043439544,4.024386464,2021-12-07_075229
192.6577429,0.988,0.33,5.145323618,18.23378038,2021-12-07_085138
197.3197429,0.988,0.75,3.599210173,9.674210153,2021-12-07_092520
65.37252857,0.988,0.12,3.420236194,4.999378437,2021-12-07_095812
2597.622429,0.988,0.99,3.378896973,5.570792286,2021-12-07_104645
1111.120421,0.988,0.97,3.457113444,11.18289883,2021-12-07_112036
1199.885357,0.988,0.98,3.223727045,4.933006071,2021-12-07_115355
635.4110786,0.988,0.68,5.996749994,13.71768992,2021-12-07_130523
650.4602786,0.988,0.81,3.740962596,11.98389651,2021-12-07_133841
387.8910714,0.988,0.71,3.380121302,7.757823202,2021-12-07_141141
89.00779286,0.988,0.57,3.258806265,5.129779355,2021-12-07_151739
250.1130071,0.988,0.26,4.23737799,-1.746109621,2021-12-07_155048
