Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Difference Distribution Mean,Timecode
29.10072143,0.988,0.62,3.895871374,5.412063025,2021-12-24_225140
334.6248571,0.988,0.28,3.41867882,-0.505397886,2021-12-24_232435
426.5159857,0.988,0.96,3.236488533,0.535828769,2021-12-25_010141
284.7940357,0.988,0.96,6.6286138,27.48888573,2021-12-25_020756
47.7194,0.988,0.46,3.261921181,1.66797214,2021-12-25_024050
91.39577857,0.988,0.32,3.589462608,2.853662279,2021-12-25_031402
304.0020286,0.988,0.49,3.184965271,0.780358485,2021-12-25_043539
365.2541786,0.988,0.97,4.598412108,10.77999432,2021-12-25_073525
156.2256286,0.988,0.86,3.279299658,0.999641931,2021-12-25_080829
23.58367857,0.988,0.36,3.124636897,0.398419508,2021-12-25_084131
114.81675,0.988,0.81,4.340214887,11.73539707,2021-12-25_092514
282.8658286,0.988,0.49,3.454548576,0.525347311,2021-12-25_095817
265.2689071,0.988,0.16,3.984440823,-18.70417655,2021-12-25_114619
430.6844071,0.988,0.97,5.041835121,13.25404752,2021-12-25_125742
180.5764357,0.988,0.26,4.128478677,9.834267979,2021-12-25_134158
63.00432857,0.988,0.83,4.034959997,9.650923454,2021-12-25_144812
211.5081214,0.988,0.18,4.301843085,11.02266437,2021-12-25_152644
180.0222143,0.988,0.13,4.579777771,13.84934707,2021-12-25_171722
77.87351429,0.988,0.45,3.425103995,4.155839933,2021-12-25_190446
179.7060643,0.988,0.25,3.766108493,5.424235583,2021-12-25_204939
222.1750929,0.988,0.18,4.582196549,13.15137148,2021-12-25_223410
19.21175714,0.988,0.84,3.278921733,1.125017024,2021-12-25_234917
126.7867929,0.988,0.65,3.343957783,2.592000496,2021-12-26_002228
196.4736429,0.988,0.17,3.997978375,3.711307095,2021-12-26_020225
167.3675286,0.988,0.19,3.824598075,6.613147846,2021-12-26_034730
110.4796643,0.988,0.25,4.000816987,3.57200039,2021-12-26_054247
103.4626857,0.988,0.54,3.550731814,6.610760994,2021-12-26_072014
218.2109071,0.988,0.42,3.817943685,7.389955016,2021-12-26_090547
105.9016,0.988,0.96,3.959775308,6.89843872,2021-12-26_114735
431.7390786,0.988,0.91,2.611703945,-18.32374516,2021-12-26_122040
220.0124,0.988,0.34,4.080281,7.466321579,2021-12-26_142053
143.8038571,0.988,0.29,4.255028737,10.56960042,2021-12-26_160510
298.8240929,0.988,0.79,8.114252387,16.53465664,2021-12-26_174234
204.6049286,0.988,0.5,4.197105471,5.04336875,2021-12-26_192720
581.6481143,0.988,0.98,6.364386992,32.18556353,2021-12-26_215122
346.1808357,0.988,0.93,3.358714088,2.362381647,2021-12-26_222440
171.8091714,0.988,0.91,5.236597032,23.02745483,2021-12-26_233120
220.9031929,0.988,0.72,3.247375742,0.865667569,2021-12-27_000414
46.86880714,0.988,0.18,4.157991405,7.014062859,2021-12-27_020958
280.0644857,0.988,0.63,5.609528607,20.37622839,2021-12-27_034231
445.1422429,0.988,0.72,7.847920638,33.24623786,2021-12-27_052221
377.7133357,0.988,0.93,5.804409783,26.67502719,2021-12-27_061059
248.8471786,0.988,0.53,3.341186835,1.536074404,2021-12-27_064409
465.5066357,0.988,0.65,5.799633675,31.74830635,2021-12-27_075046
168.5072286,0.988,0.09,3.412345202,-1.896324577,2021-12-27_082403
248.0671214,0.988,0.94,5.422109862,22.69957908,2021-12-27_111335
161.4845643,0.988,0.62,3.16120905,-0.324324473,2021-12-27_114654
752.8876571,0.988,0.96,6.934584367,30.4184392,2021-12-27_125319
180.2467643,0.988,0.56,3.393831369,0.404222978,2021-12-27_132628
120.8912071,0.988,0.3,4.382838367,13.90863201,2021-12-27_153145
