Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
7.02E-16,7.02E-08,-0.184278293,0.278481292
7.03E-15,7.03E-07,0.256110991,0.262042452
2.15E-15,2.15E-07,-0.054751061,0.143199861
2.41E-15,2.41E-07,-0.038120801,0.104203977
1.51E-15,1.51E-07,0.000331775,0.167194269
1.37E-15,1.37E-07,-0.036844146,0.264930709
7.66E-16,7.66E-08,-0.152524801,0.450839398
1.07E-15,1.07E-07,-0.086928179,0.218246786
2.63E-15,2.63E-07,0.115485899,0.300465366
3.24E-15,3.24E-07,-0.178782929,0.580595365
4.47E-15,4.47E-07,0.174236539,0.177279058
1.32E-15,1.32E-07,-0.051072591,0.192678987
8.83E-16,8.83E-08,-0.041744924,2.348230503
7.81E-16,7.81E-08,0.194637199,1.25143394
3.05E-17,3.05E-09,0.043608979,3.269091089
3.47E-15,3.47E-07,0.021203401,0.094009545
1.55E-15,1.55E-07,-0.029909846,0.180719302
2.41E-15,2.41E-07,-0.063099199,1.707403793
5.82E-16,5.82E-08,-0.234465084,0.253863806
2.13E-15,2.13E-07,-0.004002778,0.203489717
5.71E-14,5.71E-06,0.281218595,0.19523361
6.27E-15,6.27E-07,-0.078654073,0.070082068
1.81E-14,1.81E-06,0.011091642,0.025832261
7.04E-15,7.04E-07,-0.043395949,0.072723221
3.92E-17,3.92E-09,-9.061483062,56.10978473
1.10E-14,1.10E-06,0.312801245,0.303873634
3.66E-14,3.66E-06,0.243303223,0.166793653
8.51E-15,8.51E-07,-0.063583876,0.080712572
2.49E-14,2.49E-06,0.036345911,0.032540559
1.87E-14,1.87E-06,0.00561402,0.019590173
1.72E-15,1.72E-07,-0.113569942,0.132426229
3.11E-14,3.11E-06,0.283995371,0.242355431
1.20E-14,1.20E-06,0.033088928,0.067526057
5.88E-15,5.88E-07,-0.029231607,0.055144165
4.00E-15,4.00E-07,0.440760002,0.296442512
5.81E-15,5.81E-07,0.035250238,0.118256699
2.02E-14,2.02E-06,0.027859453,0.021149076
1.61E-14,1.61E-06,-0.006981475,0.02098748
1.89E-14,1.89E-06,0.009930983,0.019126511
1.65E-14,1.65E-06,-0.007923327,0.024223968
