Mean optical Energy ,Mean optical power,Difference distribution error mean,Difference distribution std dev
7.42E-16,2.97E-07,-0.022867103,0.030762591
3.91E-16,1.56E-07,0.005840103,0.026328303
4.04E-16,1.61E-07,0.00429836,0.024796144
2.15E-16,8.61E-08,-0.020479717,0.044150601
6.61E-17,2.64E-08,-0.044673936,0.085394118
5.78E-17,2.31E-08,0.086588901,0.225549421
3.12E-17,1.25E-08,0.03644665,0.347521926
3.14E-17,1.25E-08,0.001320403,0.279684312
2.10E-17,8.41E-09,0.192200905,1.083285461
4.16E-18,1.66E-09,0.067372246,2.514365166
4.59E-20,1.83E-11,-3.223389782,59.69683199
3.39E-18,1.36E-09,-0.182828085,3.40026343
1.12E-17,4.47E-09,0.181299007,2.91605785
2.98E-15,1.19E-06,-0.018747648,0.024176674
1.41E-15,5.63E-07,-0.000419828,0.020320756
4.56E-16,1.82E-07,-0.061522442,0.057757041
5.67E-16,2.27E-07,0.056164582,0.078623766
2.60E-16,1.04E-07,0.037308455,0.043522503
1.89E-16,7.57E-08,-0.004001463,0.038224065
1.01E-16,4.05E-08,-0.013665298,0.071450013
3.46E-17,1.38E-08,0.005825521,0.231505261
2.72E-17,1.09E-08,0.324917226,1.106756563
2.74E-17,1.10E-08,0.046953449,1.069516308
1.87E-17,7.47E-09,-0.58291791,2.579085086
6.63E-18,2.65E-09,-0.158155059,1.506434414
3.86E-18,1.55E-09,-0.334451868,13.32161443
5.24E-18,2.10E-09,-5.114349264,325.0864685
1.39E-15,5.56E-07,-0.01623328,0.062585168
1.66E-15,6.66E-07,0.008969717,0.016415609
1.10E-15,4.39E-07,-0.009153002,0.022489178
4.09E-16,1.64E-07,-0.010769899,0.029419414
1.04E-16,4.17E-08,-0.042329829,0.075607155
1.50E-16,6.00E-08,-0.024358548,0.048084719
8.77E-17,3.51E-08,-0.012117436,0.072910634
8.60E-17,3.44E-08,0.010646721,0.089193417
3.44E-17,1.38E-08,-0.030303499,0.210583697
2.56E-17,1.02E-08,0.078408653,0.497221996
1.06E-17,4.24E-09,-3.78494632,24.19200424
5.60E-18,2.24E-09,0.571489462,2.695371386
1.62E-18,6.50E-10,3.887658366,35.85925298
4.40E-19,1.76E-10,-0.042997844,2.984860222
1.89E-18,7.55E-10,3.607644959,57.41164539
2.61E-15,1.04E-06,-0.000810775,0.061176642
1.77E-15,7.06E-07,-0.009901734,0.019390046
8.04E-16,3.21E-07,-0.023418084,0.037275352
2.26E-16,9.04E-08,-0.011632547,0.041240872
2.10E-16,8.40E-08,-0.031568992,0.044419434
1.45E-16,5.80E-08,0.007338289,0.056615015
1.35E-16,5.40E-08,0.003322693,0.05764026
7.84E-17,3.13E-08,0.002744894,0.103227889
6.00E-17,2.40E-08,0.020337912,0.122042752
2.81E-17,1.12E-08,-0.018072063,0.321504685
1.57E-17,6.29E-09,0.109154215,1.343537687
1.31E-19,5.25E-11,0.097368028,4.662420398
2.54E-23,1.02E-14,0.910609503,7.899597197
6.86E-18,2.74E-09,0.305161637,4.103103705
2.16E-15,8.64E-07,0.023788407,0.016292917
1.88E-15,7.54E-07,0.003288208,0.056886124
7.72E-16,3.09E-07,-0.017466166,0.028411451
2.91E-16,1.16E-07,-0.041990888,0.047770077
6.28E-16,2.51E-07,0.31469668,0.250317904
1.05E-16,4.21E-08,-0.019543134,0.068023447
1.22E-16,4.86E-08,0.008519897,0.060376282
8.26E-17,3.30E-08,0.016343835,0.083435229
6.08E-17,2.43E-08,0.001123647,0.128546473
3.13E-17,1.25E-08,-0.017477658,0.821292697
2.17E-17,8.66E-09,0.086746004,0.971793711
7.62E-18,3.05E-09,0.193734438,7.676412434
